epoch,mobilenetv2_loss,mobilenetv2_accuracy,squeezenet_loss,squeezenet_accuracy,efficientnet_loss,efficientnet_accuracy
1,0.9141,80.67,1.0524,51.33,0.8915,85.0
2,0.8803,84.0,1.0539,52.33,0.8456,90.67
3,0.8605,90.67,1.0986,42.0,0.8374,90.67
1,0.8336,93.0,1.0986,41.33,0.8089,95.33
2,0.8367,91.33,1.0986,41.0,0.8255,93.67
3,0.8405,92.67,1.0986,42.0,0.8459,88.33
4,0.8211,95.67,1.0986,42.67,0.8012,95.67
5,0.8136,94.67,1.0986,42.33,0.7964,96.67
6,0.7962,97.67,1.0986,42.67,0.7938,97.33
7,0.7903,98.0,1.0986,43.0,0.7999,97.33
8,0.786,98.33,1.0986,43.67,0.7875,98.33
9,0.7851,98.33,1.0986,42.33,0.7814,99.0
10,0.7848,98.33,1.0986,42.67,0.7806,99.0
11,0.7843,98.33,1.0986,43.33,0.7804,99.0
12,0.7837,98.67,1.0986,42.67,0.7804,99.0
13,0.783,98.67,1.0986,43.0,0.7803,99.0
14,0.7829,98.67,1.0986,43.0,0.7804,99.0
15,0.7829,98.67,1.0986,42.0,0.7803,99.0
16,0.7829,98.67,1.0986,43.33,0.7803,99.0
17,0.7829,98.67,1.0986,42.67,0.7803,99.0
18,0.7828,98.67,1.0986,43.0,0.7802,99.0
19,0.7829,98.67,1.0986,43.33,0.7802,99.0
20,0.7828,98.67,1.0986,43.33,0.7801,99.0
21,0.7828,98.67,1.0986,43.33,0.78,99.0
22,0.7828,98.67,1.0986,43.0,0.7798,99.0
23,0.7828,98.67,1.0986,43.0,0.7794,99.0
24,0.7828,98.67,1.0986,43.33,0.778,99.0
25,0.7828,98.67,1.0986,43.67,0.7768,99.67
26,0.7828,98.67,1.0986,44.33,0.7771,99.67
27,0.7828,98.67,1.0986,43.33,0.7777,99.67
28,0.7828,98.67,1.0986,43.33,0.7762,99.67
29,0.7828,98.67,1.0986,43.67,0.7761,99.67
30,0.7828,98.67,1.0986,43.0,0.7761,99.67
