epoch,mobilenetv2_loss,mobilenetv2_accuracy,squeezenet_loss,squeezenet_accuracy,efficientnet_loss,efficientnet_accuracy
1,1.8072,72.33,1.4444,55.33,0.5712,74.33
2,0.4972,83.0,0.9667,58.67,0.6938,78.33
3,0.2378,92.67,0.7363,61.33,0.3426,90.0
4,0.1229,95.67,0.7261,65.0,0.3269,90.67
5,0.1841,93.0,0.7272,60.67,0.1761,95.33
6,0.0815,97.0,0.7011,66.0,0.3019,93.0
7,0.2733,94.33,0.7149,63.0,0.2195,91.67
8,0.1762,94.0,0.7177,63.67,0.0438,99.33
9,0.2069,93.67,0.6971,64.67,0.1144,98.67
10,0.2494,92.67,0.6011,69.33,0.0364,99.33
11,0.1126,96.0,0.5724,72.67,0.0114,99.67
12,0.0213,99.67,0.5064,75.33,0.0003,100.0
13,0.0018,100.0,0.4632,79.0,0.0001,100.0
14,0.0008,100.0,0.4114,77.67,0.0001,100.0
15,0.0004,100.0,0.3908,82.33,0.0001,100.0
16,0.0003,100.0,0.3749,84.67,0.0001,100.0
17,0.0002,100.0,0.4205,81.33,0.0001,100.0
18,0.0002,100.0,0.3522,82.67,0.0001,100.0
19,0.0001,100.0,0.3295,85.67,0.0,100.0
20,0.0001,100.0,0.2708,87.33,0.0,100.0
21,0.0001,100.0,0.2107,90.67,0.0,100.0
22,0.0001,100.0,0.1965,89.33,0.0,100.0
23,0.0001,100.0,0.1698,93.33,0.0,100.0
24,0.0001,100.0,0.1475,94.33,0.0,100.0
25,0.0001,100.0,0.1242,94.0,0.0,100.0
26,0.0001,100.0,0.1426,94.0,0.0,100.0
27,0.0001,100.0,0.2722,88.33,0.0,100.0
28,0.0001,100.0,0.2473,89.67,0.0,100.0
29,0.0001,100.0,0.1634,94.67,0.0,100.0
30,0.0001,100.0,0.1013,96.67,0.0,100.0
31,0.0001,100.0,0.0771,96.67,0.0,100.0
32,0.0001,100.0,0.0647,97.67,0.0,100.0
33,0.0001,100.0,0.0579,97.33,0.0,100.0
34,0.0001,100.0,0.0472,98.67,0.0,100.0
35,0.0001,100.0,0.0427,97.67,0.0,100.0
36,0.0001,100.0,0.0369,98.67,0.0,100.0
37,0.0,100.0,0.0574,97.67,0.0,100.0
38,0.0,100.0,0.0509,98.0,0.0,100.0
39,0.0,100.0,0.045,97.67,0.0,100.0
40,0.0,100.0,0.0678,96.0,0.0,100.0
41,0.0,100.0,0.0603,98.0,0.0,100.0
42,0.0,100.0,0.0258,99.33,0.0,100.0
43,0.0,100.0,0.0184,99.33,0.0,100.0
44,0.0,100.0,0.0143,99.67,0.0,100.0
45,0.0,100.0,0.01,100.0,0.0,100.0
46,0.0,100.0,0.0078,100.0,0.0,100.0
47,0.0,100.0,0.0063,100.0,0.0,100.0
48,0.0,100.0,0.005,100.0,0.0,100.0
49,0.0,100.0,0.0045,100.0,0.0,100.0
50,0.0,100.0,0.0038,100.0,0.0,100.0
51,0.0,100.0,0.0029,100.0,0.0,100.0
52,0.0,100.0,0.0027,100.0,0.0,100.0
53,0.0,100.0,0.0026,100.0,0.0,100.0
54,0.0,100.0,0.0023,100.0,0.0,100.0
55,0.0,100.0,0.0022,100.0,0.0,100.0
56,0.0,100.0,0.002,100.0,0.0,100.0
57,0.0,100.0,0.0019,100.0,0.0,100.0
58,0.0,100.0,0.0018,100.0,0.0,100.0
59,0.0,100.0,0.0017,100.0,0.0,100.0
60,0.0,100.0,0.0016,100.0,0.0,100.0
61,0.0,100.0,0.0015,100.0,0.0,100.0
62,0.0,100.0,0.0014,100.0,0.0,100.0
63,0.0,100.0,0.0014,100.0,0.0,100.0
64,0.0,100.0,0.0013,100.0,0.0,100.0
65,0.0,100.0,0.0013,100.0,0.0,100.0
66,0.0,100.0,0.0013,100.0,0.0,100.0
67,0.0,100.0,0.0012,100.0,0.0,100.0
68,0.0,100.0,0.0012,100.0,0.0,100.0
69,0.0,100.0,0.0012,100.0,0.0,100.0
70,0.0,100.0,0.0011,100.0,0.0,100.0
71,0.0,100.0,0.0011,100.0,0.0,100.0
72,0.0,100.0,0.0011,100.0,0.0,100.0
73,0.0,100.0,0.0011,100.0,0.0,100.0
74,0.0,100.0,0.0011,100.0,0.0,100.0
75,0.0,100.0,0.0011,100.0,0.0,100.0
76,0.0,100.0,0.001,100.0,0.0,100.0
77,0.0,100.0,0.001,100.0,0.0,100.0
78,0.0,100.0,0.001,100.0,0.0,100.0
79,0.0,100.0,0.001,100.0,0.0,100.0
80,0.0,100.0,0.001,100.0,0.0,100.0
81,0.0,100.0,0.001,100.0,0.0,100.0
82,0.0,100.0,0.001,100.0,0.0,100.0
83,0.0,100.0,0.0009,100.0,0.0,100.0
84,0.0,100.0,0.0009,100.0,0.0,100.0
85,0.0,100.0,0.0009,100.0,0.0,100.0
86,0.0,100.0,0.0009,100.0,0.0,100.0
87,0.0,100.0,0.0009,100.0,0.0,100.0
88,0.0,100.0,0.0009,100.0,0.0,100.0
89,0.0,100.0,0.0009,100.0,0.0,100.0
90,0.0,100.0,0.0009,100.0,0.0,100.0
91,0.0,100.0,0.0009,100.0,0.0,100.0
92,0.0,100.0,0.0009,100.0,0.0,100.0
93,0.0,100.0,0.0009,100.0,0.0,100.0
94,0.0,100.0,0.0009,100.0,0.0,100.0
95,0.0,100.0,0.0009,100.0,0.0,100.0
96,0.0,100.0,0.0009,100.0,0.0,100.0
97,0.0,100.0,0.0009,100.0,0.0,100.0
98,0.0,100.0,0.0009,100.0,0.0,100.0
99,0.0,100.0,0.0009,100.0,0.0,100.0
100,0.0,100.0,0.0009,100.0,0.0,100.0
